"","in2009.name","out2009.name","unlist.fun.lst."
"1","coarse","wpg2_usda.3a2_wpct","ifelse(is.na(as.numeric(x)), 0, as.numeric(x))"
"2","clay","clay.tot_usda.3a1_wpct","ifelse(as.numeric(x)<0, NA, as.numeric(x))"
"3","silt","silt.tot_usda.3a1_wpct","ifelse(as.numeric(x)<0, NA, as.numeric(x))"
"4","sand","sand.tot_usda.3a1_wpct","ifelse(as.numeric(x)<0, NA, as.numeric(x))"
"5","pHinH2O","ph.h2o_usda.4c1_index","ifelse(as.numeric(x)<0, NA, as.numeric(x))"
"6","pHinCaCl2","ph.cacl2_usda.4c1_index","ifelse(as.numeric(x)<0, NA, as.numeric(x))"
"7","OC","oc_usda.calc_wpct","ifelse(as.numeric(x)<0, NA, as.numeric(x))/10"
"8","CaCO3","caco3_usda.4e1_wpct","ifelse(as.numeric(x)<0, NA, as.numeric(x))"
"9","N","n.tot_usda.4h2_wpct","ifelse(as.numeric(x)<0, NA, as.numeric(x))/10"
"10","P","p.ext_usda.4d6_mgkg","ifelse(as.numeric(x)<0, NA, as.numeric(x))"
"11","K","k.ext_usda.4d6_mgkg","ifelse(as.numeric(x)<0, NA, as.numeric(x))"
"12","CEC","cec.ext_usda.4b1_cmolkg","ifelse(as.numeric(x)<0, NA, as.numeric(x))"
"13","coords.x1","longitude_wgs84_dd","as.numeric(x)"
"14","coords.x2","latitude_wgs84_dd","as.numeric(x)"
